gender,session,parental level of education,finance,test preparation course,math score,reading score,writing score
male,session E,some college,sponsored,none,76,71,72
female,session D,master's degree,sponsored,none,74,79,82
female,session B,associate's degree,sponsored,completed,94,87,92
male,session C,some college,self-financed,none,63,61,54
female,session E,associate's degree,sponsored,completed,95,89,92
female,session D,master's degree,self-financed,none,40,59,54
female,session B,some high school,sponsored,none,82,82,80
male,session A,high school,sponsored,none,68,70,66
male,session B,bachelor's degree,self-financed,none,55,59,54
male,session C,master's degree,sponsored,none,79,78,77
female,session C,bachelor's degree,sponsored,none,86,92,87
male,session D,some college,sponsored,none,76,71,73
male,session A,some high school,sponsored,none,64,50,43
male,session D,some high school,self-financed,none,62,49,52
female,session B,some high school,sponsored,completed,54,61,62
female,session B,master's degree,self-financed,completed,77,97,94
female,session C,some high school,sponsored,completed,76,87,85
female,session D,some college,sponsored,none,74,89,84
female,session E,some college,sponsored,completed,66,74,73
female,session D,some high school,sponsored,completed,66,78,78
female,session B,high school,self-financed,completed,67,78,79
male,session D,some college,sponsored,none,71,49,52
female,session C,associate's degree,sponsored,none,91,86,84
male,session D,bachelor's degree,sponsored,none,69,58,57
male,session C,master's degree,self-financed,none,54,59,50
male,session C,high school,sponsored,completed,53,52,49
male,session E,some college,sponsored,none,68,60,59
male,session C,some high school,self-financed,completed,56,61,60
female,session C,high school,self-financed,none,36,53,43
female,session D,bachelor's degree,self-financed,none,29,41,47
female,session C,associate's degree,sponsored,none,62,74,70
female,session C,associate's degree,sponsored,completed,68,67,73
female,session C,some high school,sponsored,none,47,54,53
male,session E,associate's degree,sponsored,completed,62,61,58
female,session E,associate's degree,sponsored,completed,79,88,94
male,session B,high school,sponsored,completed,73,69,68
female,session C,bachelor's degree,self-financed,completed,66,83,83
male,session C,associate's degree,sponsored,completed,51,60,58
female,session D,high school,sponsored,none,51,66,62
male,session E,bachelor's degree,sponsored,completed,85,66,71
male,session A,associate's degree,sponsored,completed,97,92,86
male,session C,high school,sponsored,completed,75,69,68
male,session D,associate's degree,self-financed,completed,79,82,80
female,session C,associate's degree,sponsored,none,81,77,79
female,session D,associate's degree,sponsored,none,82,95,89
female,session D,master's degree,sponsored,none,64,63,66
male,session E,some high school,self-financed,completed,78,83,80
female,session A,some high school,sponsored,completed,92,100,97
male,session C,high school,sponsored,completed,72,67,64
female,session C,high school,self-financed,none,62,67,64
male,session C,master's degree,sponsored,none,79,72,69
male,session C,some high school,self-financed,none,79,76,65
male,session B,bachelor's degree,self-financed,completed,87,90,88
female,session B,associate's degree,sponsored,none,40,48,50
male,session D,some college,self-financed,none,77,62,64
male,session E,associate's degree,sponsored,none,53,45,40
female,session C,some college,self-financed,none,32,39,33
female,session C,associate's degree,sponsored,completed,55,72,79
male,session C,master's degree,self-financed,none,61,67,66
female,session B,associate's degree,self-financed,none,53,70,70
male,session D,some high school,sponsored,none,73,66,62
female,session D,some college,sponsored,completed,74,75,79
female,session C,some college,sponsored,none,63,74,74
male,session C,bachelor's degree,sponsored,completed,96,90,92
female,session D,some college,self-financed,completed,63,80,80
male,session B,bachelor's degree,self-financed,none,48,51,46
male,session B,associate's degree,sponsored,none,48,43,45
female,session E,bachelor's degree,self-financed,completed,92,100,100
female,session D,master's degree,self-financed,completed,61,71,78
male,session B,high school,self-financed,none,63,48,47
male,session D,bachelor's degree,self-financed,none,68,68,67
male,session B,some college,sponsored,completed,71,75,70
male,session A,bachelor's degree,sponsored,none,91,96,92
female,session C,some college,sponsored,none,53,62,56
female,session C,high school,self-financed,completed,50,66,64
female,session E,high school,sponsored,none,74,81,71
male,session A,associate's degree,self-financed,completed,40,55,53
male,session A,some college,sponsored,completed,61,51,52
female,session B,high school,sponsored,none,81,91,89
female,session B,some college,self-financed,completed,48,56,58
female,session D,master's degree,sponsored,none,53,61,68
female,session D,some high school,sponsored,none,81,97,96
female,session E,some high school,sponsored,none,77,79,80
female,session D,bachelor's degree,self-financed,none,63,73,78
female,session D,associate's degree,sponsored,completed,73,75,80
female,session D,some college,sponsored,none,69,77,77
female,session C,associate's degree,sponsored,none,65,76,76
female,session A,high school,sponsored,none,55,73,73
female,session C,bachelor's degree,self-financed,none,44,63,62
female,session C,some college,sponsored,none,54,64,65
female,session A,some high school,sponsored,none,48,66,65
male,session C,some college,self-financed,none,58,57,54
male,session A,some high school,sponsored,none,71,62,50
male,session E,bachelor's degree,sponsored,none,68,68,64
female,session E,high school,sponsored,none,74,76,73
female,session C,bachelor's degree,sponsored,completed,92,100,99
female,session C,bachelor's degree,sponsored,completed,56,79,72
male,session B,high school,self-financed,none,30,24,15
male,session A,some high school,sponsored,none,53,54,48
female,session D,high school,sponsored,none,69,77,73
female,session D,some high school,sponsored,none,65,82,81
female,session D,master's degree,sponsored,none,54,60,63
female,session C,high school,sponsored,none,29,29,30
female,session E,some college,sponsored,none,76,78,80
male,session D,high school,self-financed,none,60,57,51
male,session D,master's degree,self-financed,completed,84,89,90
male,session C,some high school,sponsored,none,75,72,62
female,session C,associate's degree,sponsored,none,85,84,82
female,session C,master's degree,self-financed,none,40,58,54
female,session E,some college,sponsored,none,61,64,62
female,session B,associate's degree,sponsored,none,58,63,65
male,session D,some college,self-financed,completed,69,60,63
female,session C,some college,sponsored,none,58,59,66
male,session C,bachelor's degree,sponsored,completed,94,90,91
female,session C,associate's degree,sponsored,none,65,77,74
female,session A,associate's degree,sponsored,none,82,93,93
female,session C,high school,sponsored,none,60,68,72
female,session E,bachelor's degree,sponsored,none,37,45,38
male,session D,bachelor's degree,sponsored,none,88,78,83
male,session D,master's degree,sponsored,none,95,81,84
male,session C,associate's degree,self-financed,completed,65,73,68
female,session C,high school,self-financed,none,35,61,54
male,session B,bachelor's degree,self-financed,none,62,63,56
male,session C,high school,self-financed,completed,58,51,52
male,session A,some college,sponsored,completed,100,96,86
female,session E,bachelor's degree,self-financed,none,61,58,62
male,session D,some college,sponsored,completed,100,97,99
male,session B,associate's degree,self-financed,completed,69,70,63
male,session D,associate's degree,sponsored,none,61,48,46
male,session D,some college,self-financed,none,49,57,46
female,session C,some high school,sponsored,completed,44,51,55
male,session D,some college,sponsored,none,67,64,70
male,session B,high school,sponsored,none,79,60,65
female,session B,bachelor's degree,sponsored,completed,66,74,81
female,session C,high school,sponsored,none,75,88,85
male,session D,some high school,sponsored,none,84,84,80
male,session A,high school,sponsored,none,71,74,64
female,session B,high school,self-financed,completed,67,80,81
female,session D,some high school,sponsored,completed,80,92,88
male,session E,some college,sponsored,none,86,76,74
female,session D,associate's degree,sponsored,none,76,74,73
male,session D,high school,sponsored,none,41,52,51
female,session D,associate's degree,self-financed,completed,74,88,90
female,session B,some high school,self-financed,none,72,81,79
female,session E,high school,sponsored,completed,74,79,80
male,session B,high school,sponsored,none,70,65,60
female,session B,bachelor's degree,sponsored,completed,65,81,81
female,session D,associate's degree,sponsored,none,59,70,65
female,session E,high school,self-financed,none,64,62,68
female,session B,high school,sponsored,none,50,53,55
female,session D,some college,sponsored,completed,69,79,81
male,session C,some high school,self-financed,completed,51,56,53
female,session A,high school,sponsored,completed,68,80,76
female,session D,some college,sponsored,completed,85,86,98
female,session A,associate's degree,sponsored,completed,65,70,74
female,session B,some high school,sponsored,none,73,79,79
female,session B,some college,sponsored,none,62,67,67
male,session C,associate's degree,self-financed,none,77,67,64
male,session D,some high school,sponsored,none,69,66,61
female,session D,associate's degree,self-financed,none,43,60,58
male,session D,associate's degree,sponsored,none,90,87,85
male,session C,some college,self-financed,none,74,77,73
male,session C,some high school,sponsored,none,73,66,63
female,session D,some college,self-financed,none,55,71,69
female,session C,high school,sponsored,none,65,69,67
male,session D,associate's degree,sponsored,none,80,63,63
female,session C,some high school,self-financed,completed,50,60,60
female,session C,some college,self-financed,completed,63,73,71
female,session B,bachelor's degree,self-financed,none,77,85,87
male,session C,some college,sponsored,none,73,74,61
male,session D,associate's degree,sponsored,completed,81,72,77
female,session C,high school,self-financed,none,66,76,68
male,session D,associate's degree,self-financed,none,52,57,50
female,session C,some college,sponsored,none,69,78,76
female,session C,associate's degree,sponsored,completed,65,84,84
female,session D,high school,sponsored,completed,69,77,78
female,session B,some college,sponsored,completed,50,64,66
female,session E,some college,sponsored,completed,73,78,76
female,session C,some high school,sponsored,completed,70,82,76
male,session D,associate's degree,self-financed,none,81,75,78
male,session D,some college,self-financed,none,63,61,60
female,session D,high school,sponsored,none,67,72,74
male,session B,high school,sponsored,none,60,68,60
male,session B,high school,sponsored,none,62,55,54
female,session C,some high school,self-financed,completed,29,40,44
male,session B,some college,sponsored,completed,62,66,68
female,session E,master's degree,sponsored,completed,94,99,100
male,session E,some college,sponsored,completed,85,75,68
male,session D,associate's degree,self-financed,none,77,78,73
male,session A,high school,self-financed,none,53,58,44
male,session E,some college,self-financed,none,93,90,83
female,session C,associate's degree,sponsored,none,49,53,53
female,session E,associate's degree,self-financed,none,73,76,78
female,session C,bachelor's degree,self-financed,completed,66,74,81
female,session D,associate's degree,sponsored,none,77,77,73
female,session C,some high school,sponsored,none,49,63,56
female,session D,some college,self-financed,none,79,89,86
female,session C,associate's degree,sponsored,completed,75,82,90
female,session A,bachelor's degree,sponsored,none,59,72,70
female,session D,associate's degree,sponsored,completed,57,78,79
male,session C,high school,self-financed,none,66,66,59
female,session E,bachelor's degree,sponsored,completed,79,81,82
female,session B,some high school,sponsored,none,57,67,72
male,session A,bachelor's degree,sponsored,completed,87,84,87
female,session D,some college,sponsored,none,63,64,67
female,session B,some high school,self-financed,completed,59,63,64
male,session A,bachelor's degree,self-financed,none,62,72,65
male,session D,high school,sponsored,none,46,34,36
male,session C,some college,sponsored,none,66,59,52
male,session D,high school,sponsored,none,89,87,79
female,session D,associate's degree,self-financed,completed,42,61,58
male,session C,some college,sponsored,completed,93,84,90
female,session E,some high school,sponsored,completed,80,85,85
female,session D,some college,sponsored,none,98,100,99
male,session D,master's degree,sponsored,none,81,81,84
female,session B,some high school,sponsored,completed,60,70,74
female,session B,associate's degree,self-financed,completed,76,94,87
male,session C,associate's degree,sponsored,completed,73,78,72
female,session C,associate's degree,sponsored,completed,96,96,99
female,session C,high school,sponsored,none,76,76,74
male,session E,associate's degree,self-financed,completed,91,73,80
female,session C,some college,self-financed,none,62,72,70
male,session D,some high school,self-financed,completed,55,59,59
female,session B,some high school,self-financed,completed,74,90,88
male,session C,high school,sponsored,none,50,48,42
male,session B,some college,sponsored,none,47,43,41
male,session E,some college,sponsored,completed,81,74,71
female,session E,associate's degree,sponsored,completed,65,75,77
male,session E,some high school,sponsored,completed,68,51,57
female,session D,high school,self-financed,none,73,92,84
male,session C,some college,sponsored,none,53,39,37
female,session B,associate's degree,self-financed,completed,68,77,80
male,session A,some high school,self-financed,none,55,46,43
female,session C,some college,sponsored,completed,87,89,94
male,session D,some high school,sponsored,none,55,47,44
female,session E,some college,self-financed,none,53,58,57
male,session C,master's degree,sponsored,none,67,57,59
male,session C,associate's degree,sponsored,none,92,79,84
female,session B,some college,self-financed,completed,53,66,73
male,session D,associate's degree,sponsored,none,81,71,73
male,session C,high school,self-financed,none,61,60,55
male,session D,bachelor's degree,sponsored,none,80,73,72
female,session A,associate's degree,self-financed,none,37,57,56
female,session C,high school,sponsored,none,81,84,82
female,session C,associate's degree,sponsored,completed,59,73,72
male,session B,some college,self-financed,none,55,55,47
male,session D,associate's degree,sponsored,none,72,79,74
male,session D,high school,sponsored,none,69,75,71
male,session C,some college,sponsored,none,69,64,68
female,session C,bachelor's degree,self-financed,none,50,60,59
male,session B,some college,sponsored,completed,87,84,86
male,session D,some high school,sponsored,completed,71,69,68
male,session E,some college,sponsored,none,68,72,65
male,session C,master's degree,self-financed,completed,79,77,75
female,session C,some high school,sponsored,completed,77,90,85
male,session C,associate's degree,self-financed,none,58,55,53
female,session E,associate's degree,sponsored,none,84,95,92
male,session D,some college,sponsored,none,55,58,52
male,session E,bachelor's degree,self-financed,completed,70,68,72
female,session D,some college,self-financed,completed,52,59,65
male,session B,some college,sponsored,completed,69,77,77
female,session C,high school,self-financed,none,53,72,64
female,session D,some high school,sponsored,none,48,58,54
male,session D,some high school,sponsored,completed,78,81,86
female,session B,high school,sponsored,none,62,62,63
male,session D,some college,sponsored,none,60,63,59
female,session B,high school,sponsored,none,74,72,72
female,session C,high school,sponsored,completed,58,75,77
male,session B,high school,sponsored,completed,76,62,60
female,session D,some high school,sponsored,none,68,71,75
male,session A,some college,self-financed,none,58,60,57
male,session B,high school,sponsored,none,52,48,49
male,session D,bachelor's degree,sponsored,none,75,73,74
female,session B,some high school,self-financed,completed,52,67,72
female,session C,bachelor's degree,self-financed,none,62,78,79
male,session B,some college,sponsored,none,66,65,60
female,session B,some high school,self-financed,none,49,58,55
female,session B,high school,sponsored,none,66,72,70
female,session C,some college,self-financed,none,35,44,43
female,session A,some college,sponsored,completed,72,79,82
male,session E,associate's degree,sponsored,completed,94,85,82
female,session D,associate's degree,self-financed,none,46,56,57
female,session B,master's degree,sponsored,none,77,90,84
female,session B,high school,self-financed,completed,76,85,82
female,session C,associate's degree,sponsored,completed,52,59,62
male,session C,bachelor's degree,sponsored,completed,91,81,79
female,session B,some high school,sponsored,completed,32,51,44
female,session E,some high school,self-financed,none,72,79,77
female,session B,some college,sponsored,none,19,38,32
male,session C,associate's degree,self-financed,none,68,65,61
female,session C,master's degree,self-financed,none,52,65,61
female,session B,high school,sponsored,none,48,62,60
female,session D,some college,self-financed,none,60,66,70
male,session D,high school,self-financed,none,66,74,69
male,session E,some high school,sponsored,completed,89,84,77
female,session B,high school,sponsored,none,42,52,51
female,session E,associate's degree,self-financed,completed,57,68,73
male,session D,high school,sponsored,none,70,70,70
female,session E,associate's degree,self-financed,none,70,84,81
male,session E,some college,sponsored,none,69,60,54
female,session C,associate's degree,sponsored,none,52,55,57
male,session C,some high school,sponsored,completed,67,73,68
male,session C,some high school,sponsored,completed,76,80,73
female,session E,associate's degree,sponsored,none,87,94,95
female,session B,some college,sponsored,none,82,85,87
female,session C,some college,sponsored,none,73,76,78
male,session A,some college,self-financed,none,75,81,74
female,session D,some college,self-financed,none,64,74,75
female,session E,high school,self-financed,none,41,45,40
male,session C,high school,sponsored,none,90,75,69
male,session B,bachelor's degree,sponsored,none,59,54,51
male,session A,some high school,sponsored,none,51,31,36
male,session A,high school,self-financed,none,45,47,49
female,session C,master's degree,sponsored,completed,54,64,67
male,session E,some high school,sponsored,completed,87,84,76
female,session C,high school,sponsored,none,72,80,83
male,session B,some high school,sponsored,completed,94,86,87
female,session A,bachelor's degree,sponsored,none,45,59,64
male,session D,bachelor's degree,self-financed,completed,61,70,76
female,session B,high school,self-financed,none,60,72,68
female,session C,some high school,sponsored,none,77,91,88
female,session A,some high school,sponsored,completed,85,90,92
female,session D,bachelor's degree,self-financed,none,78,90,93
male,session E,some college,self-financed,completed,49,52,51
female,session B,high school,self-financed,none,71,87,82
female,session C,some high school,self-financed,none,48,58,52
male,session C,high school,sponsored,none,62,67,58
female,session C,associate's degree,self-financed,completed,56,68,70
female,session C,some high school,sponsored,none,65,69,76
female,session D,some high school,self-financed,completed,69,86,81
male,session B,some high school,sponsored,none,68,54,53
female,session A,some college,self-financed,none,61,60,57
female,session C,bachelor's degree,self-financed,completed,74,86,89
male,session A,bachelor's degree,sponsored,none,64,60,58
female,session B,high school,sponsored,completed,77,82,89
male,session B,some college,sponsored,none,58,50,45
female,session C,high school,sponsored,completed,60,64,74
male,session E,high school,sponsored,none,73,64,57
female,session A,high school,sponsored,completed,75,82,79
male,session B,associate's degree,self-financed,completed,58,57,53
female,session C,associate's degree,sponsored,none,66,77,73
female,session D,high school,self-financed,none,39,52,46
male,session C,some high school,sponsored,none,64,58,51
female,session B,high school,self-financed,completed,23,44,36
male,session B,some college,self-financed,completed,74,77,76
female,session D,some high school,self-financed,completed,40,65,64
male,session E,master's degree,sponsored,none,90,85,84
male,session C,master's degree,sponsored,completed,91,85,85
male,session D,high school,sponsored,none,64,54,50
female,session C,high school,sponsored,none,59,72,68
male,session D,associate's degree,sponsored,none,80,75,69
male,session C,master's degree,sponsored,none,71,67,67
female,session A,high school,sponsored,none,61,68,63
female,session E,some college,sponsored,none,87,85,93
male,session E,some high school,sponsored,none,82,67,61
male,session C,some high school,sponsored,none,62,64,55
female,session B,bachelor's degree,sponsored,none,97,97,96
male,session B,some college,self-financed,none,75,68,65
female,session C,bachelor's degree,sponsored,none,65,79,81
male,session B,high school,sponsored,completed,52,49,46
male,session C,associate's degree,self-financed,none,87,73,72
female,session C,associate's degree,sponsored,none,53,62,53
female,session E,master's degree,self-financed,none,81,86,87
male,session D,bachelor's degree,self-financed,completed,39,42,38
female,session C,some college,sponsored,completed,71,71,80
male,session C,associate's degree,sponsored,none,97,93,91
male,session D,some college,sponsored,completed,82,82,88
male,session C,high school,self-financed,none,59,53,52
male,session B,associate's degree,sponsored,none,61,42,41
male,session E,associate's degree,self-financed,completed,78,74,72
male,session C,associate's degree,self-financed,none,49,51,51
male,session B,high school,sponsored,none,59,58,47
female,session C,some college,sponsored,completed,70,72,76
male,session B,associate's degree,sponsored,completed,82,84,78
male,session E,associate's degree,self-financed,none,90,90,82
female,session C,bachelor's degree,self-financed,none,43,62,61
male,session C,some college,self-financed,none,80,64,66
male,session D,some college,sponsored,none,81,82,84
male,session C,some high school,sponsored,none,57,61,54
female,session D,some high school,sponsored,none,59,72,80
female,session D,associate's degree,sponsored,none,64,76,74
male,session C,bachelor's degree,sponsored,completed,63,64,66
female,session E,bachelor's degree,sponsored,completed,71,70,70
female,session B,high school,self-financed,none,64,73,71
male,session D,bachelor's degree,self-financed,none,55,46,44
female,session E,associate's degree,sponsored,none,51,51,54
female,session C,associate's degree,sponsored,completed,62,76,80
female,session E,associate's degree,sponsored,completed,93,100,95
male,session C,high school,self-financed,none,54,72,59
female,session D,some college,self-financed,none,69,65,74
male,session D,high school,self-financed,none,44,51,48
female,session E,some college,sponsored,completed,86,85,91
female,session E,associate's degree,sponsored,none,85,92,85
female,session A,master's degree,self-financed,none,50,67,73
male,session D,some high school,sponsored,completed,88,74,75
female,session E,associate's degree,sponsored,none,59,62,69
female,session E,some high school,self-financed,none,32,34,38
male,session B,high school,self-financed,none,36,29,27
female,session B,some high school,self-financed,completed,63,78,79
male,session D,associate's degree,sponsored,completed,67,54,63
female,session D,some high school,sponsored,completed,65,78,82
male,session D,master's degree,sponsored,none,85,84,89
female,session C,master's degree,sponsored,none,73,78,74
female,session A,high school,self-financed,completed,34,48,41
female,session D,bachelor's degree,self-financed,completed,93,100,100
female,session D,some high school,self-financed,none,67,84,84
male,session D,some college,sponsored,none,88,77,77
male,session B,high school,sponsored,none,57,48,51
female,session D,some college,sponsored,completed,79,84,91
female,session C,bachelor's degree,self-financed,none,67,75,72
male,session E,bachelor's degree,sponsored,completed,70,64,70
male,session D,bachelor's degree,self-financed,none,50,42,48
female,session A,some college,sponsored,none,69,84,82
female,session C,bachelor's degree,sponsored,completed,52,61,66
female,session C,bachelor's degree,self-financed,completed,47,62,66
female,session B,associate's degree,self-financed,none,46,61,55
female,session E,some college,sponsored,none,68,70,66
male,session E,bachelor's degree,sponsored,completed,100,100,100
female,session C,high school,sponsored,none,44,61,52
female,session C,associate's degree,sponsored,completed,57,77,80
male,session B,some college,sponsored,completed,91,96,91
male,session D,high school,self-financed,none,69,70,67
female,session C,high school,self-financed,none,35,53,46
male,session D,high school,sponsored,none,72,66,66
female,session B,associate's degree,self-financed,none,54,65,65
male,session D,high school,self-financed,none,74,70,69
male,session E,some high school,sponsored,completed,74,64,60
male,session E,associate's degree,self-financed,none,64,56,52
female,session D,high school,self-financed,completed,65,61,71
male,session E,associate's degree,self-financed,completed,46,43,44
female,session C,some high school,self-financed,none,48,56,51
male,session C,some college,self-financed,completed,67,74,70
male,session D,some college,self-financed,none,62,57,62
male,session D,associate's degree,self-financed,completed,61,71,73
male,session C,bachelor's degree,self-financed,completed,70,75,74
male,session C,associate's degree,sponsored,completed,98,87,90
male,session D,some college,self-financed,none,70,63,58
male,session A,associate's degree,sponsored,none,67,57,53
female,session E,high school,self-financed,none,57,58,57
male,session D,some college,sponsored,completed,85,81,85
male,session D,some high school,sponsored,completed,77,68,69
male,session C,master's degree,self-financed,completed,72,66,72
female,session D,master's degree,sponsored,none,78,91,96
male,session C,high school,sponsored,none,81,66,64
male,session A,some high school,self-financed,completed,61,62,61
female,session B,high school,sponsored,none,58,68,61
female,session C,associate's degree,sponsored,none,54,61,58
male,session B,high school,sponsored,none,82,82,80
female,session D,some college,self-financed,none,49,58,60
male,session B,some high school,self-financed,completed,49,50,52
female,session E,high school,self-financed,completed,57,75,73
male,session E,high school,sponsored,none,94,73,71
female,session D,some college,sponsored,completed,75,77,83
female,session E,some high school,self-financed,none,74,74,72
male,session C,high school,sponsored,completed,58,52,54
female,session C,some college,sponsored,none,62,69,69
male,session E,associate's degree,sponsored,none,72,57,62
male,session C,some college,sponsored,none,84,87,81
female,session D,master's degree,sponsored,none,92,100,100
female,session D,high school,sponsored,none,45,63,59
male,session C,high school,sponsored,none,75,81,71
female,session A,some college,sponsored,none,56,58,64
female,session D,some high school,self-financed,none,48,54,53
female,session E,associate's degree,sponsored,none,100,100,100
female,session C,some high school,self-financed,completed,65,76,75
male,session D,some college,sponsored,none,72,57,58
female,session D,some college,sponsored,none,62,70,72
male,session A,some high school,sponsored,completed,66,68,64
male,session C,some college,sponsored,none,63,63,60
female,session E,associate's degree,sponsored,none,68,76,67
female,session B,bachelor's degree,sponsored,none,75,84,80
female,session D,bachelor's degree,sponsored,none,89,100,100
male,session C,some high school,sponsored,completed,78,72,69
female,session A,high school,self-financed,completed,53,50,60
female,session D,some college,self-financed,none,49,65,61
female,session A,some college,sponsored,none,54,63,67
female,session C,some college,sponsored,completed,64,82,77
male,session B,some college,self-financed,completed,60,62,60
male,session C,associate's degree,sponsored,none,62,65,58
male,session D,high school,sponsored,completed,55,41,48
female,session C,associate's degree,sponsored,none,91,95,94
female,session B,high school,self-financed,none,8,24,23
male,session D,some high school,sponsored,none,81,78,78
male,session B,some high school,sponsored,completed,79,85,86
female,session A,some college,sponsored,completed,78,87,91
female,session C,some high school,sponsored,none,74,75,82
male,session A,high school,sponsored,none,57,51,54
female,session C,associate's degree,sponsored,none,40,59,51
male,session E,some high school,sponsored,completed,81,75,76
female,session A,some high school,self-financed,none,44,45,45
female,session D,some college,self-financed,completed,67,86,83
male,session E,high school,self-financed,completed,86,81,75
female,session B,some high school,sponsored,completed,65,82,78
female,session D,associate's degree,self-financed,none,55,76,76
female,session D,bachelor's degree,self-financed,none,62,72,74
male,session A,high school,sponsored,none,63,63,62
female,session E,master's degree,sponsored,completed,88,99,95
male,session C,high school,self-financed,none,62,55,55
female,session C,high school,self-financed,completed,59,71,65
female,session D,some college,sponsored,completed,68,78,77
female,session D,some college,self-financed,none,77,86,86
